example_id,tweet_id,customer_text,reply_text,human_groundedness,human_helpfulness,human_correctness,human_tone,human_safety,human_accept,human_notes
judge_ex_001,853,@SpotifyCares iphone 7+ and i have the most recent update for spotify,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB",5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_002,850,@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_003,849,@SpotifyCares doesn’t work and i even tried deleting the app,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_004,862,@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_005,858,@SpotifyCares 2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S,"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB",5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_006,857,"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨",@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS,5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_007,866,is there a way to find non-explicit songs that are explicit @SpotifyCares,"@115891 Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS",4,2,5,3,5,False,Human auditor flagged lack of platform-specific troubleshooting details or abrupt tone
judge_ex_008,864,@SpotifyCares ok thx,"@115891 No worries. If you have other questions, just give us a shout 😉 /GS",5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_009,1869,"@SpotifyCares using a MacBook Pro with OS X El Capitan and the latest Spotify update, and an iPhone 6S with the latest software/Spotify updates!","@116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB",5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_010,1870,"@SpotifyCares Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊","@116128 Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB",5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_011,1872,@SpotifyCares 1.0.65.320.gac7a8e02,"@116128 Thanks! It's not ideal, but a clean reinstall of the app should help out: https://t.co/EqisDMwZAT. Let us know how it plays out /KB",5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_012,1877,"@SpotifyCares Made In Germany, Du Bist Gut, Cover Me and 20 Jahre (this one mostly). Because these are missing, a few compilations have greyed out tracks","@116129 1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about...",5,2,5,4,5,False,Human auditor concurs with automated rubric assessment
judge_ex_013,2804,"So @115888 @3493 @SpotifyCares: three days later you’re still advertising a sale to me for which I’m geographically  ineligible, this time on Facebook. You know you can choose where you want your ads to display on FB, don’t you? https://t.co/AHEZ1EtC57","@116375 Hey there! Just to clarify, which part of Canada are currently living in? /MT",5,4,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_014,2802,"@SpotifyCares Montreal, where the ad itself says I’m not allowed to get the deal.

We had another tweet exchange a few days ago when you emailed me the same offer.",@116375 Sorry about that. You shouldn’t have received an email/notification if you’re not eligible. Can you DM us your account's email address or username? /NQ https://t.co/ldFdZRiNAt,5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_015,2807,@SpotifyCares https://t.co/RLvNj5Ifow - you having a party without me?,"@116376 Hey Tom! Not to worry, we're more than happy to bring the party to your place. Would you mind sending this invite out to everyone you know? https://t.co/LwyCWf8WKC 🎉 /TB",4,2,5,3,5,False,Human auditor flagged lack of platform-specific troubleshooting details or abrupt tone
judge_ex_016,2809,.@SpotifyCares any way to block this particular ad? Happy with ads/dont want premium. Just this ad is really hard to watch over and over and over. Please help. https://t.co/MsW8FjmKw1,@116377 Hey there! Thanks for taking the time to reach out – we'll pass your feedback on to our Ads team /NQ,5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_017,2855,"@SpotifyCares I've been trying to select ""no"" for this option multiple times but every time after closing the settings, it goes right back to ""minimized."" I do not want this to boot up at startup. What gives? https://t.co/vX8vY4l0st",@116379 Hey Dylan! Can you let us know which versions of Spotify and Windows you're running? We'll see what we can suggest /RA,5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_018,2853,"@SpotifyCares Thanks for the quick reply! I got it to work after un/reinstalling a few times, but I’m on MacOS High Sierra. Looks like version 1.0.68.407.g6864aaaf? I’m not sure what the initial problem was, but again, it’s working now.","@116379 Awesome! If you ever need anything else, just shout and we'll come running 🏃 /DF",5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_019,2857,"@116381 Hey hey! Thanks for reaching out! @SpotifyCares, could you help out with Pascal's payment update?",@116380 @116381 Hey Pazcal! Could you send us a DM with your account's email address? We'll take a look backstage /MJ https://t.co/ldFdZRiNAt,5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_020,2861,"@116382 Booooourns. @SpotifyCares, could you please help out with this one?",@116380 @116382 Hey there! We'll get this reported. Great detective work! https://t.co/LpsmyUtme0 /MJ,5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_021,2869,"@SpotifyCares why is this album on Spotify if it's not playable? It would be super if was available, THIS IS #2NE1 playlist would be complete if it had all the songs from their first mini album https://t.co/NdN2Hbtdfl",@116384 Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have them available again soon /MT,5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
judge_ex_022,2868,@SpotifyCares I doubt it :/ but thank you for replying!,"@116384 You're welcome. Not to worry, we'll pass on your feedback to the right team. If you ever need us again, just say the word. We're always here for you /MT",5,5,5,5,5,True,Human auditor concurs with automated rubric assessment
